"";"property_id";"ESoEstrato"
"1";"4fa04a187235d7509a43a8cf";NA
"2";"f9cfbb306af543a759c1f3f2";NA
"3";"957a84e8e93ae2b33bc6f61b";2
"4";"eb32d75b32bc5e8677207fc7";3
"5";"880a6e7bd74dc2568940d275";4
"6";"847cf8c0907ac512c8a0fc74";5
"7";"a5a8d725bc0813847bab03f1";4
"8";"8f4986c3d1ffb934558342e9";NA
"9";"835b0b0a59a523fb39bb569e";NA
"10";"61e681bc3574d96b1b8f36a1";3
"11";"6688f1c06ef81e8aaa584340";4
"12";"cde56ba411b61f8bda1e2462";6
"13";"b73d00764c9e0a94aac5b4f7";4
"14";"03241335538f394cf2bf9647";6
"15";"8349ebead093a6452883637e";6
"16";"9460c9fbe2955fdef0e0f4d6";6
"17";"c26287001c5df25d08030218";6
"18";"e38088a70c575132d7cfd2b7";NA
"19";"feb994495375dae146299fa4";5
"20";"de7c2f0648a789db971c0b17";5
"21";"5ca0cd46a1e5c28fd25fdd65";NA
"22";"846c1731216bd1e3b63b7a7c";NA
"23";"41c891287b7284e3a5962f6e";NA
"24";"fdcf28334ca76670c597fb34";NA
"25";"a748fdc26f41c066561c0ecd";4
"26";"6b8d7d9d8e0636765954415d";5
"27";"8290a144a2267e0bf964c17d";5
"28";"563253dfd164c1a526b9c9aa";6
"29";"28db029094ff6f9835480aad";6
"30";"728035c102cfb413c2303152";6
"31";"f5d92f861bf992ce3ef086f1";5
"32";"e3d8d7802e2ef441f35e3bdc";6
"33";"4731febed4a8eb228b792dc9";5
"34";"9f8235166c895b795743097a";6
"35";"292267c0ab43fcc5a993f76a";6
"36";"2a28834194763e014eaa35eb";NA
"37";"01815f1ae3d3bd7cfc9b1047";NA
"38";"74d04cfbca166ab77add0f2d";4
"39";"4e14b0a748475a1a5fa4bc47";NA
"40";"b50e5e67c85a1ae1cdf0bf3b";4
"41";"301c8dbf14fb681bb94ea012";5
"42";"65c14986e6a28b9345e84003";4
"43";"b7688a977e260d4d168c4389";6
"44";"32af12d5a1278132e10287ba";4
"45";"85088376c428e4a258910010";4
"46";"309ec655873eeddd339ce4e7";6
"47";"cf5519cfe7695935445e16f2";3
"48";"8278f39270f3b1233032f0b2";3
"49";"3813cd4e8611eeb0653a852d";5
"50";"b6657bd1da5ba39a653b0445";5
"51";"f73279cf26a9b0d4b8f8a1aa";5
"52";"6c1dc6a9c6a6868a26f354c3";NA
"53";"982fa7535cb9280a1bbffcbe";5
"54";"82b1bf13d4211f9462fe9e01";5
"55";"52aeb65cc515f03b66e2fc6e";3
"56";"b11c2f1359cf927de40aefad";4
"57";"f446ef51c25f9dd1f53f4aba";3
"58";"d9505f6ea37d7c0078a041f0";6
"59";"d6a865261fe1e15f62be5e9e";5
"60";"be295a89f5e8fd6d9d8c072b";NA
"61";"3c22744d099eb4548d4225a5";5
"62";"5f085ce7d02efecb346efdf0";5
"63";"45da4ac97ae2a342562fba76";5
"64";"e4b1af60b83bea12ca2af801";NA
"65";"cbe4f0d8c2c53c46fd11ca84";6
"66";"473bef947a47fd462f416008";NA
"67";"c0d9f460df4d4df4574c0a5a";5
"68";"765195b6814f186fb12ce860";5
"69";"88a5694ec722b9a3e05563cd";NA
"70";"9d7cd2c9346cc44b64b488ff";4
"71";"3efe31f3a5556ad506c87fc2";5
"72";"73a60ff718b2c32c81906734";5
"73";"9006dacc97a42c9e60912c5b";NA
"74";"d5f13ff897a076041a60a1b2";NA
"75";"54631c707aef6e9387bc1d79";NA
"76";"4c760815356d1c5ae2643699";5
"77";"10fe013bd5db9a39a4b1fbce";5
"78";"7d76aadc2740b4a3c4cc7fb7";6
